date,event,detail,category,source_url,date_verified
2021-07-16,National ETS launch,"National carbon market began online trading at 9:30am at Shanghai Environment and Energy Exchange (opening 48 yuan/t, close +6.7%). Start of the CEA price series; 2,162 power-sector entities covered.",other,https://overview.cneeex.com/c/2021-07-16/491247.shtml,True
2021-10-26,First compliance-cycle settlement notice,MEE released notice (document dated 2021-10-23) requiring 95% of key emitters to clear 2019-2020 quotas by 2021-12-15 and 100% by 2021-12-31. Set the first hard compliance timetable; bullish for pre-deadline demand. Fetched CPNN article (2021-10-28) states release date 10月26日.,compliance-deadline,https://www.cpnn.com.cn/news/hg/202110/t20211027_1445148_wap.html,True
2021-12-31,First compliance deadline (2019-2020 vintages),Deadline for full clearance of first-cycle quotas; MEE announced same day 99.5% compliance rate. Demand pulse ends at deadline; prices typically soften after.,compliance-deadline,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202112/t20211231_965906.shtml,True
2022-03-14,Data-fraud enforcement disclosure,"MEE publicly named 4 verification/testing firms (中碳能投, 中创碳投, 青岛希诺, 辽宁东煤) for falsifying emissions data. Signaled MRV crackdown; raised expected stringency of reported emissions (bullish for effective demand, bearish for market confidence short-run).",other,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202203/t20220314_971398.shtml,True
2022-11-03,2021-2022 power allocation plan consultation draft,"MEE opened public comment (to 2022-11-12) on the 2021/2022 quota total-setting and allocation plan: two-year combined cycle, tightened 2022 benchmark values vs 2021 balance values. First news on second-cycle supply; benchmark-tightening signal.",allocation,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202211/t20221103_999595.html,True
2023-03-15,2021-2022 power allocation plan issued,"MEE notice 国环规气候〔2023〕1号 (dated 2023-03-13, published 03-15) issued the final 2021/2022 allocation plan; benchmarks modestly tightened, flexibility/pre-drawdown mechanisms added; set compliance timetable (95% by 2023-11-15, 100% by 2023-12-31).",allocation,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk03/202303/t20230315_1019707.html,True
2023-07-07,CCER restart signal: management measures consultation draft,"MEE opened public comment (to 2023-08-06) on the draft 温室气体自愿减排交易管理办法(试行) — the decisive public signal that the CCER offset market would restart after the 2017 suspension. Bearish for CEA at margin (future offset supply), bullish for offset developers.",ccer,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202307/t20230707_1035606.shtml,True
2023-07-17,2021-2022 settlement work notice (CCER offsets confirmed),"MEE notice 环办气候函〔2023〕237号 (dated 07-14, posted 07-17) organized 2021/2022 quota clearance and confirmed legacy CCERs usable for up to 5% of obligations; pre-drawdown and hardship provisions.",compliance-deadline,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202307/t20230717_1036370.html,True
2023-10-19,CCER trading management measures (trial) published,"MEE and SAMR jointly issued 部令第31号 (approved 2023-09-15, published and effective 2023-10-19), the legal framework for the restarted voluntary carbon market.",ccer,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202310/t20231020_1043694.html,True
2023-10-24,First four CCER methodologies issued,"MEE issued methodologies for afforestation, concentrated solar power, offshore wind, and mangrove restoration — defining eligible offset supply for the restarted CCER market.",ccer,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202310/t20231024_1043877.html,True
2023-12-31,Compliance deadline for 2021 and 2022 vintages,"Full clearance deadline for the combined second cycle (95% milestone 2023-11-15), per the 2023-03-15 notice. Pre-deadline demand pulse in Q4 2023.",compliance-deadline,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk03/202303/t20230315_1019707.html,True
2024-01-05,State Council passes ETS Interim Regulations (draft),"23rd State Council executive meeting chaired by Li Qiang reviewed and passed the 碳排放权交易管理暂行条例(草案); readout newswired same day. First binding signal of the market's first dedicated administrative regulation (penalties, legal status). Passage date verified in fetched Xinhua text of Order 775; same-day media coverage exists (e.g. Southern Metropolis 2024-01-05).",regulation,http://www.news.cn/politics/20240204/9e19690fa406464a95b93f2dc73d2b06/c.html,True
2024-01-22,CCER trading restart (market launch),"National voluntary GHG emission reduction trading market launched in Beijing (Beijing Green Exchange); first-day volume 375,315 t, 23.8m yuan. Restores offset supply channel (up to 5% of compliance).",ccer,https://paper.people.com.cn/zgnyb/html/2024-01/29/content_26041024.htm,True
2024-02-04,ETS Interim Regulations published (Order 775),"Xinhua authorized release (dateline 2024-02-04 19:08) of 碳排放权交易管理暂行条例, signed by Li Qiang 2024-01-25, effective 2024-05-01. Elevates ETS to administrative regulation with much larger penalties for non-compliance and data fraud; bullish for compliance demand.",regulation,http://www.news.cn/politics/20240204/9e19690fa406464a95b93f2dc73d2b06/c.html,True
2024-07-02,2023-2024 power allocation plan consultation draft (banking restrictions),"MEE opened comment (letter dated 06-29, posted 07-02, deadline 07-10) on the 2023/2024 power-sector plan: first quota banking/carryover restriction (carryover = base amount + 1.5x net sales during 2024-01-01 to 2025-12-31), switch from supplied-power to generated-power basis, annual compliance. Banking rule incentivized surplus holders to sell — key supply-side shock.",banking,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202407/t20240702_1080579.html,True
2024-09-09,"Expansion consultation draft: cement, steel, electrolytic aluminum","MEE opened comment (to 09-19) on the work plan covering the three sectors: 2024 as first managed year, first compliance by end-2025, intensity-based free allocation, no absolute cap in phase one; ~1,500 new entities, coverage to ~60% of national CO2.",expansion,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202409/t20240909_1085452.html,True
2024-10-21,2023-2024 power allocation plan issued (final),"MEE notice 国环规气候〔2024〕1号 (document dated 2024-10-15, 发布日期 2024-10-16 per MEE page, posted publicly with Q&A 2024-10-21) finalized the 2023/2024 plan incl. banking restriction; clearance deadlines 2024-12-31 (2023 vintage) and 2025-12-31 (2024 vintage).",allocation,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk03/202410/t20241021_1089750.html,True
2024-12-31,Compliance deadline for 2023 vintage (power),Full clearance of 2023-year quotas required by 2024-12-31 per 国环规气候〔2024〕1号. First annualized (non-combined) deadline under the new regulation.,compliance-deadline,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk03/202410/t20241021_1089750.html,True
2025-01-03,Second batch CCER methodologies issued,MEE and partners issued methodologies for low-concentration coal-mine gas/ventilation air methane utilization and highway tunnel lighting energy saving — expanding CCER offset supply. (Drafts had been consulted August 2024.),ccer,https://m.bjnews.com.cn/detail/1736148452168691.html,True
2025-03-26,"Expansion work plan issued: steel, cement, aluminum smelting","MEE issued the final work plan formally bringing the three sectors (incl. CF4/C2F6 for aluminum) into the ETS: 2024 first managed year (allocation = verified emissions), intensity-based allocation 2025-2026, tightening phase from 2027; coverage rises to >60% of national CO2.",expansion,https://www.mee.gov.cn/zcwj/zcjd/202503/t20250326_1104769.shtml,True
